onset	duration	sample	value	prompt_text	stage_name	posture
10.476	24.377	20952	handwriting_prompt	x	n/a	n/a
30.4745	87.067	60949	stage_start	n/a	characters_with_digits	standing-on-leg
34.854	1.4675	69708	handwriting_prompt	'	n/a	n/a
36.3215	1.8125	72643	handwriting_prompt	o	n/a	n/a
38.136	1.607	76272	handwriting_prompt	t	n/a	n/a
39.7435	1.817	79487	handwriting_prompt	h	n/a	n/a
41.5625	1.776	83125	handwriting_prompt	z	n/a	n/a
43.3385	1.863	86677	handwriting_prompt	u	n/a	n/a
45.207	2.7325	90414	handwriting_prompt	e	n/a	n/a
47.943	1.922	95886	handwriting_prompt	j	n/a	n/a
49.8695	2.341	99739	handwriting_prompt	8	n/a	n/a
52.212	1.7555	104424	handwriting_prompt	?	n/a	n/a
53.9695	5.667	107939	handwriting_prompt	2	n/a	n/a
59.637	4.7705	119274	handwriting_prompt	7	n/a	n/a
64.41	1.6405	128820	handwriting_prompt	v	n/a	n/a
66.0535	1.925	132107	handwriting_prompt	r	n/a	n/a
67.9985	2.0015	135997	handwriting_prompt	3	n/a	n/a
70.0015	1.4315	140003	handwriting_prompt	,	n/a	n/a
71.435	2.165	142870	handwriting_prompt	b	n/a	n/a
73.6	1.781	147200	handwriting_prompt	!	n/a	n/a
75.3845	2.152	150769	handwriting_prompt	d	n/a	n/a
77.539	2.116	155078	handwriting_prompt	5	n/a	n/a
79.6575	2.089	159315	handwriting_prompt	w	n/a	n/a
81.748	1.765	163496	handwriting_prompt	n	n/a	n/a
83.513	1.4915	167026	handwriting_prompt	1	n/a	n/a
85.0055	2.0355	170011	handwriting_prompt	s	n/a	n/a
87.0415	1.652	174083	handwriting_prompt	l	n/a	n/a
88.695	2.0405	177390	handwriting_prompt	q	n/a	n/a
90.741	1.213	181482	handwriting_prompt	c	n/a	n/a
91.9595	1.6855	183919	handwriting_prompt	0	n/a	n/a
93.6455	1.5775	187291	handwriting_prompt	←	n/a	n/a
95.228	1.78	190456	handwriting_prompt	4	n/a	n/a
97.01	1.466	194020	handwriting_prompt	y	n/a	n/a
98.4785	1.6125	196957	handwriting_prompt	9	n/a	n/a
100.091	1.3555	200182	handwriting_prompt	i	n/a	n/a
101.4495	1.9285	202899	handwriting_prompt	p	n/a	n/a
103.379	1.3255	206758	handwriting_prompt	.	n/a	n/a
104.7065	2.1225	209413	handwriting_prompt	k	n/a	n/a
106.8345	1.7795	213669	handwriting_prompt	g	n/a	n/a
108.617	1.6195	217234	handwriting_prompt	f	n/a	n/a
110.24	1.935	220480	handwriting_prompt	m	n/a	n/a
112.177	1.3805	224354	handwriting_prompt	6	n/a	n/a
113.559	1.324	227118	handwriting_prompt	→	n/a	n/a
114.884	2.6595	229768	handwriting_prompt	a	n/a	n/a
117.544	29.383	235088	stage_start	n/a	words	standing-on-leg
117.5445	2.9105	235089	handwriting_prompt	it's	n/a	n/a
120.456	2.871	240912	handwriting_prompt	job	n/a	n/a
123.329	4.0865	246658	handwriting_prompt	except	n/a	n/a
127.4345	8.3575	254869	handwriting_prompt	citizen	n/a	n/a
135.7945	6.3965	271589	handwriting_prompt	what's!	n/a	n/a
142.1915	4.7375	284383	handwriting_prompt	take←	n/a	n/a
146.93	6.3775	293860	handwriting_prompt	he'su←	n/a	n/a
146.93	45.4175	293860	stage_start	n/a	words_with_backspace	standing-on-leg
153.313	7.984	306626	handwriting_prompt	adjm←oins	n/a	n/a
161.3	6.3605	322600	handwriting_prompt	q'←uest!	n/a	n/a
167.681	6.962	335362	handwriting_prompt	otp←←←fix	n/a	n/a
174.645	8.1995	349290	handwriting_prompt	sl←←cadenza	n/a	n/a
182.8455	9.5025	365691	handwriting_prompt	worlda←	n/a	n/a
192.3505	64.149	384701	stage_start	n/a	words	standing-on-leg
192.3515	6.4735	384703	handwriting_prompt	yes you are.	n/a	n/a
198.8265	12.566	397653	handwriting_prompt	thanks	n/a	n/a
211.395	8.8915	422790	handwriting_prompt	seen! thanks	n/a	n/a
220.2885	12.2915	440577	handwriting_prompt	thanks for asking	n/a	n/a
232.582	8.6245	465164	handwriting_prompt	yes i will	n/a	n/a
241.2085	3.5635	482417	handwriting_prompt	thx	n/a	n/a
244.775	7.0285	489550	handwriting_prompt	we outside	n/a	n/a
251.806	4.6945	503612	handwriting_prompt	text	n/a	n/a
256.502	3.4235	513004	stage_start	n/a	two_digit_numbers	standing-on-leg
256.504	3.4225	513008	handwriting_prompt	81	n/a	n/a
259.928	6.502	519856	stage_start	n/a	three_digit_numbers	standing-on-leg
259.929	6.5025	519858	handwriting_prompt	356	n/a	n/a
266.432	5.289	532864	stage_start	n/a	four_digit_numbers	standing-on-leg
266.4355	5.2865	532871	handwriting_prompt	0749	n/a	n/a
271.723	9.265	543446	handwriting_prompt	1 239 5405	n/a	n/a
271.723	9.252	543446	stage_start	n/a	phone_numbers	standing-on-leg
