onset	duration	sample	value	prompt_text	stage_name	posture
1.009	22.703	2018	handwriting_prompt	←	n/a	n/a
20.655	64.994	41310	stage_start	n/a	characters_with_digits	seated-on-surface
23.7125	1.54	47425	handwriting_prompt	h	n/a	n/a
25.2535	1.7965	50507	handwriting_prompt	4	n/a	n/a
27.0505	1.683	54101	handwriting_prompt	,	n/a	n/a
28.7375	1.5455	57475	handwriting_prompt	q	n/a	n/a
30.2835	1.433	60567	handwriting_prompt	v	n/a	n/a
31.7175	1.734	63435	handwriting_prompt	j	n/a	n/a
33.454	1.612	66908	handwriting_prompt	u	n/a	n/a
35.0665	1.244	70133	handwriting_prompt	l	n/a	n/a
36.311	1.367	72622	handwriting_prompt	!	n/a	n/a
37.678	1.4425	75356	handwriting_prompt	z	n/a	n/a
39.1205	1.5225	78241	handwriting_prompt	0	n/a	n/a
40.643	2.3095	81286	handwriting_prompt	a	n/a	n/a
42.9525	1.658	85905	handwriting_prompt	p	n/a	n/a
44.611	1.1425	89222	handwriting_prompt	.	n/a	n/a
45.7545	1.4385	91509	handwriting_prompt	2	n/a	n/a
47.1935	1.428	94387	handwriting_prompt	r	n/a	n/a
48.622	1.1975	97244	handwriting_prompt	1	n/a	n/a
49.8195	1.8325	99639	handwriting_prompt	o	n/a	n/a
51.654	1.702	103308	handwriting_prompt	t	n/a	n/a
53.356	1.427	106712	handwriting_prompt	x	n/a	n/a
54.7835	1.305	109567	handwriting_prompt	c	n/a	n/a
56.0895	1.6175	112179	handwriting_prompt	f	n/a	n/a
57.7095	1.3055	115419	handwriting_prompt	'	n/a	n/a
59.015	1.5375	118030	handwriting_prompt	k	n/a	n/a
60.553	1.6755	121106	handwriting_prompt	b	n/a	n/a
62.229	1.516	124458	handwriting_prompt	3	n/a	n/a
63.745	1.107	127490	handwriting_prompt	→	n/a	n/a
64.8525	1.71	129705	handwriting_prompt	5	n/a	n/a
66.563	1.5375	133126	handwriting_prompt	w	n/a	n/a
68.101	1.5965	136202	handwriting_prompt	g	n/a	n/a
69.698	1.238	139396	handwriting_prompt	7	n/a	n/a
70.937	1.5845	141874	handwriting_prompt	?	n/a	n/a
72.5215	1.298	145043	handwriting_prompt	9	n/a	n/a
73.8195	1.3135	147639	handwriting_prompt	d	n/a	n/a
75.1365	1.1385	150273	handwriting_prompt	s	n/a	n/a
76.2755	1.2085	152551	handwriting_prompt	y	n/a	n/a
77.4875	1.315	154975	handwriting_prompt	e	n/a	n/a
78.803	1.6815	157606	handwriting_prompt	m	n/a	n/a
80.485	1.311	160970	handwriting_prompt	6	n/a	n/a
81.796	1.307	163592	handwriting_prompt	8	n/a	n/a
83.103	1.179	166206	handwriting_prompt	i	n/a	n/a
84.2845	1.3645	168569	handwriting_prompt	n	n/a	n/a
85.6495	2.8925	171299	handwriting_prompt	we'll	n/a	n/a
85.6495	20.0755	171299	stage_start	n/a	words	seated-on-surface
88.5425	2.7155	177085	handwriting_prompt	just	n/a	n/a
91.2585	4.261	182517	handwriting_prompt	equally	n/a	n/a
95.5215	4.281	191043	handwriting_prompt	express	n/a	n/a
99.8045	2.8165	199609	handwriting_prompt	size	n/a	n/a
102.6215	3.104	205243	handwriting_prompt	week	n/a	n/a
105.727	4.1015	211454	handwriting_prompt	ns←←i've	n/a	n/a
105.7275	28.5055	211455	stage_start	n/a	words_with_backspace	seated-on-surface
109.829	5.775	219658	handwriting_prompt	crazi←←←←←ly	n/a	n/a
115.6045	3.7455	231209	handwriting_prompt	omx←←f	n/a	n/a
119.3515	5.407	238703	handwriting_prompt	pic←←←king	n/a	n/a
124.7585	5.4245	249517	handwriting_prompt	cannoku←←t	n/a	n/a
130.184	4.052	260368	handwriting_prompt	←←←←←has	n/a	n/a
134.236	5.167	268472	handwriting_prompt	don't know	n/a	n/a
134.2365	41.069	268473	stage_start	n/a	words	seated-on-surface
139.408	5.308	278816	handwriting_prompt	not sure yet	n/a	n/a
144.719	3.4845	289438	handwriting_prompt	please	n/a	n/a
148.204	2.765	296408	handwriting_prompt	smh	n/a	n/a
150.9695	6.167	301939	handwriting_prompt	probably not	n/a	n/a
157.1405	4.398	314281	handwriting_prompt	it's okay	n/a	n/a
161.539	5.2	323078	handwriting_prompt	no problem	n/a	n/a
166.739	8.568	333478	handwriting_prompt	exactly. that's true	n/a	n/a
175.307	1.4985	350614	stage_start	n/a	two_digit_numbers	seated-on-surface
175.308	1.4975	350616	handwriting_prompt	16	n/a	n/a
176.809	2.268	353618	handwriting_prompt	606	n/a	n/a
176.809	2.2675	353618	stage_start	n/a	three_digit_numbers	seated-on-surface
179.0775	3.318	358155	handwriting_prompt	8584	n/a	n/a
179.0775	3.3165	358155	stage_start	n/a	four_digit_numbers	seated-on-surface
182.395	6.365	364790	stage_start	n/a	phone_numbers_with_space_gesture	seated-on-surface
182.3955	6.365	364791	handwriting_prompt	888→ 910→ 962	n/a	n/a
188.7605	4.5135	377521	stage_start	n/a	phone_numbers	seated-on-surface
188.7615	4.52	377523	handwriting_prompt	2646 08	n/a	n/a
193.2815	4.1855	386563	stage_start	n/a	prices	seated-on-surface
193.282	4.1865	386564	handwriting_prompt	6777.49	n/a	n/a
197.468	13.454	394936	stage_start	n/a	random_characters	seated-on-surface
