onset	duration	sample	value	prompt_text	stage_name	posture
1.009	20.698	2018	handwriting_prompt	3	n/a	n/a
18.2955	64.1655	36591	stage_start	n/a	characters_with_digits	seated-on-surface
21.7075	1.626	43415	handwriting_prompt	e	n/a	n/a
23.3335	1.5375	46667	handwriting_prompt	d	n/a	n/a
24.871	1.34	49742	handwriting_prompt	b	n/a	n/a
26.211	1.418	52422	handwriting_prompt	x	n/a	n/a
27.6305	1.412	55261	handwriting_prompt	n	n/a	n/a
29.043	1.5625	58086	handwriting_prompt	q	n/a	n/a
30.606	1.765	61212	handwriting_prompt	a	n/a	n/a
32.3715	1.5975	64743	handwriting_prompt	4	n/a	n/a
33.9695	1.291	67939	handwriting_prompt	j	n/a	n/a
35.262	1.6275	70524	handwriting_prompt	t	n/a	n/a
36.8895	1.271	73779	handwriting_prompt	l	n/a	n/a
38.161	1.311	76322	handwriting_prompt	←	n/a	n/a
39.473	1.2685	78946	handwriting_prompt	'	n/a	n/a
40.7425	1.513	81485	handwriting_prompt	h	n/a	n/a
42.2565	0.112	84513	handwriting_prompt	9	n/a	n/a
42.3685	1.3955	84737	handwriting_prompt	v	n/a	n/a
43.765	1.4145	87530	handwriting_prompt	r	n/a	n/a
45.18	1.6975	90360	handwriting_prompt	?	n/a	n/a
46.879	1.494	93758	handwriting_prompt	!	n/a	n/a
48.394	1.428	96788	handwriting_prompt	z	n/a	n/a
49.823	1.4035	99646	handwriting_prompt	6	n/a	n/a
51.227	1.563	102454	handwriting_prompt	8	n/a	n/a
52.7905	1.3715	105581	handwriting_prompt	u	n/a	n/a
54.164	2.0585	108328	handwriting_prompt	f	n/a	n/a
56.223	1.3495	112446	handwriting_prompt	7	n/a	n/a
57.573	1.3065	115146	handwriting_prompt	s	n/a	n/a
58.88	1.4425	117760	handwriting_prompt	k	n/a	n/a
60.3225	1.4855	120645	handwriting_prompt	p	n/a	n/a
61.808	1.315	123616	handwriting_prompt	o	n/a	n/a
63.1255	1.2935	126251	handwriting_prompt	1	n/a	n/a
64.4195	1.1105	128839	handwriting_prompt	→	n/a	n/a
65.5305	1.496	131061	handwriting_prompt	c	n/a	n/a
67.0275	1.6255	134055	handwriting_prompt	5	n/a	n/a
68.6545	1.437	137309	handwriting_prompt	0	n/a	n/a
70.092	1.723	140184	handwriting_prompt	y	n/a	n/a
71.815	1.893	143630	handwriting_prompt	w	n/a	n/a
73.7095	1.727	147419	handwriting_prompt	m	n/a	n/a
75.437	1.3735	150874	handwriting_prompt	2	n/a	n/a
76.8105	1.382	153621	handwriting_prompt	,	n/a	n/a
78.1935	1.4075	156387	handwriting_prompt	.	n/a	n/a
79.604	1.599	159208	handwriting_prompt	g	n/a	n/a
81.2035	1.258	162407	handwriting_prompt	i	n/a	n/a
82.4615	23.196	164923	stage_start	n/a	words	seated-on-surface
82.462	2.868	164924	handwriting_prompt	we'd	n/a	n/a
85.331	2.742	170662	handwriting_prompt	just	n/a	n/a
88.074	4.198	176148	handwriting_prompt	square	n/a	n/a
92.274	3.86	184548	handwriting_prompt	vertex	n/a	n/a
96.1525	4.2065	192305	handwriting_prompt	market	n/a	n/a
100.3595	5.2985	200719	handwriting_prompt	forward	n/a	n/a
105.6585	5.809	211317	handwriting_prompt	kxh←←now	n/a	n/a
105.6585	34.242	211317	stage_start	n/a	words_with_backspace	seated-on-surface
111.468	5.314	222936	handwriting_prompt	bror←wn	n/a	n/a
116.7835	5.1245	233567	handwriting_prompt	o←←←←←f	n/a	n/a
121.9115	7.733	243823	handwriting_prompt	ad←←←←just	n/a	n/a
129.6465	4.536	259293	handwriting_prompt	x←city	n/a	n/a
134.183	5.719	268366	handwriting_prompt	sq←←uid	n/a	n/a
139.9015	35.998	279803	stage_start	n/a	words	seated-on-surface
139.9075	5.5655	279815	handwriting_prompt	ok will do	n/a	n/a
145.473	4.3535	290946	handwriting_prompt	why not	n/a	n/a
149.8265	2.539	299653	handwriting_prompt	yes	n/a	n/a
